Filename: cacheline_size_v3.csv
specbzip,3.804921,3.005237,2.279221,2.304889,2.212689
spechmmer,1.342547,1.281634,1.244909,1.230362,1.226790
speclibm,6.601370,3.912422,2.606584,1.981339,1.650154
specmcf,1.734977,1.456696,1.459703,1.473241,1.419303
specsjeng,11.480549,6.351625,4.050959,3.014787,2.400771










Filename: combined_output.csv










Filename: l1d_assoc_v3.csv
specbzip,2.279221,2.279221,2.279221,2.279221
spechmmer,1.244909,1.244321,1.244258,1.244113
speclibm,2.606584,2.606584,2.606584,2.606584
specmcf,1.459703,1.458696,1.458696,1.458696
specsjeng,4.050959,4.050886,4.050861,4.050861










Filename: l1d_size_v3.csv
specbzip,2.282948,2.279975,2.279221,2.279275
spechmmer,1.276084,1.271272,1.244909,1.239103
speclibm,2.606584,2.606584,2.606584,2.606584
specmcf,1.492893,1.460760,1.459703,1.458969
specsjeng,4.051664,4.051384,4.050959,4.051018










Filename: l1i_assoc_v3.csv
specbzip,2.279221,2.278221,2.278442,2.278497
spechmmer,1.244909,1.244092,1.244037,1.244037
speclibm,2.606584,2.606846,2.606846,2.606846
specmcf,1.459703,1.286428,1.286428,1.286428
specsjeng,4.050959,4.050953,4.051018,4.050928










Filename: l1i_size_v3.csv
specbzip,2.277211,2.279221,2.278125,2.278351
spechmmer,1.246174,1.244909,1.243890,1.243647
speclibm,2.606846,2.606584,2.606846,2.606846
specmcf,1.690563,1.459703,1.286428,1.286428
specsjeng,4.051005,4.050959,4.050964,4.050928










Filename: l2_assoc_v3.csv
specbzip,2.279163,2.279221,2.276082,2.276371,2.276015
spechmmer,1.244909,1.244909,1.244909,1.244909,1.244909
speclibm,2.606584,2.606584,2.606584,2.606584,2.605027
specmcf,1.459703,1.459703,1.459703,1.459703,1.459703
specsjeng,4.050920,4.050959,4.051055,4.050608,4.050507










Filename: l2_size_v3.csv
specbzip,2.293280,2.288891,2.279221,2.254992
spechmmer,1.244909,1.244909,1.244909,1.244909
speclibm,2.625533,2.619304,2.606584,2.585042
specmcf,1.463076,1.460339,1.459703,1.459703
specsjeng,4.063191,4.059376,4.050959,4.034242










